_id,_inV,_label,_outV,_type,item
58,6,M-C,18,edge,_label
99,1183,C-D,6,edge,_label
102,6,U-C,1184,edge,_label
117,1574,C-A,6,edge,_label
124,6,M-C,1577,edge,_label
145,1016,F-U,7,edge,_label
179,168,P-P,11,edge,_label
188,11,T-P,299,edge,_label
191,910,P-P,11,edge,_label
201,12,M-M,12,edge,_label
202,12,M-M,12,edge,_label
214,13,E-T,631,edge,_label
216,13,O-T,1527,edge,_label
242,15,F-M,1817,edge,_label
243,16,M-M,16,edge,_label
244,16,M-M,16,edge,_label
337,24,D-D,24,edge,_label
338,24,D-D,24,edge,_label
351,1680,D-C,25,edge,_label
356,27,P-D,1501,edge,_label
367,31,F-O,30,edge,_label
378,31,B-O,539,edge,_label
399,1372,O-C,31,edge,_label
400,31,C-O,1372,edge,_label
435,38,O-O,35,edge,_label
483,549,G-B,37,edge,_label
486,37,T-G,864,edge,_label
494,37,D-G,1375,edge,_label
526,39,C-T,1726,edge,_label
528,39,C-T,2127,edge,_label
553,1012,O-B,45,edge,_label
561,278,T-D,46,edge,_label
581,1208,T-B,46,edge,_label
613,52,O-O,52,edge,_label
614,52,O-O,52,edge,_label
620,52,O-O,55,edge,_label
623,57,O-O,52,edge,_label
626,52,C-O,59,edge,_label
650,54,O-O,57,edge,_label
678,57,F-O,76,edge,_label
691,588,O-F,57,edge,_label
697,1113,O-F,57,edge,_label
723,1817,O-F,57,edge,_label
724,57,F-O,1817,edge,_label
730,57,R-O,1966,edge,_label
740,57,C-O,2220,edge,_label
762,58,C-E,1310,edge,_label
770,58,F-E,1817,edge,_label
775,1948,E-D,58,edge,_label
777,2022,E-T,58,edge,_label
787,1224,C-D,59,edge,_label
800,60,P-D,64,edge,_label
829,420,U-T,61,edge,_label
835,425,U-C,61,edge,_label
847,445,U-U,61,edge,_label
856,61,U-U,642,edge,_label
857,643,U-D,61,edge,_label
863,647,U-U,61,edge,_label
882,61,T-U,1165,edge,_label
894,61,U-U,1915,edge,_label
913,849,O-O,63,edge,_label
929,164,P-T,64,edge,_label
934,64,T-P,268,edge,_label
941,635,P-U,64,edge,_label
947,1136,P-D,64,edge,_label
984,68,F-G,73,edge,_label
994,68,U-G,663,edge,_label
995,836,G-D,68,edge,_label
1005,2220,G-C,68,edge,_label
1016,69,F-D,334,edge,_label
1018,69,U-D,530,edge,_label
1028,69,C-D,874,edge,_label
1031,1053,D-T,69,edge,_label
1037,1520,D-T,69,edge,_label
