_id,_type,item,long,oid,pin,short
1,vertex,_id,ABD1 mRNA cap methyltransferase,1,T,YBR236C
2,vertex,_id,"RPB2 DNA-directed RNA polymerase II,140 kDa chain",2,T,YOR151C
4,vertex,_id,ACC1 acetyl-CoA carboxylase,4,M,YNR016C
6,vertex,_id,SIT4 ser/thr protein phosphatase,6,C,YDL047W
7,vertex,_id,"CCT5 T-complex protein 1,epsilon subunit",7,F,YJR064W
9,vertex,_id,ADE12 adenylosuccinate synthetase,9,M,YNL220W
10,vertex,_id,ADE13 adenylosuccinate lyase,10,M,YLR359W
11,vertex,_id,PRT1 translation initiation factor eIF3 subunit,11,P,YOR361C
12,vertex,_id,ADE4 amidophosphoribosyltransferase,12,M,YMR300C
13,vertex,_id,RNA1 GTPase activating protein,13,T,YMR235C
14,vertex,_id,CYS3 cystathionine gamma-lyase,14,G,YAL012W
15,vertex,_id,"ADE5,7 phosphoribosylamine-glycine ligase and phosphoribosylformylglycinamidine cyclo-ligase",15,M,YGL234W
16,vertex,_id,ADE6 5-phosphoribosylformyl glycinamidine synthetase,16,M,YGR061C
17,vertex,_id,"ADK1 adenylate kinase,cytosolic",17,M,YDR226W
18,vertex,_id,ADO1 strong similarity to human adenosine kinase,18,M,YJR105W
19,vertex,_id,AKL1 Ark-family Kinase-Like protein,19,F,YBR059C
20,vertex,_id,AOS1 forms together with UBA2P a heterodimeric activating enzyme for SMT3P,20,F,YPR180W
22,vertex,_id,UBA2 E1-like (ubiquitin-activating) enzyme,22,F,YDR390C
24,vertex,_id,APC2 component of the anaphase promoting complex,24,D,YLR127C
25,vertex,_id,APC1 subunit of anaphase-promoting complex (cyclosome),25,D,YNL172W
26,vertex,_id,CDC27 subunit of anaphase-promoting complex (cyclosome),26,D,YBL084C
27,vertex,_id,CDC23 subunit of anaphase-promoting complex (cyclosome),27,D,YHR166C
29,vertex,_id,APD1 weak similarity to potato sucrose cleavage protein,29,U,YBR151W
30,vertex,_id,APG14 required for autophagy,30,F,YBR128C
31,vertex,_id,"TFP1 H+-ATPase V1 domain 69 KD catalytic subunit,vacuolar",31,O,YDL185W
32,vertex,_id,VPS30 involved in vacuolare protein sorting and autophagy,32,O,YPL120W
33,vertex,_id,"APL2 AP-1 complex subunit,beta1-adaptin,82 KD",33,O,YKL135C
34,vertex,_id,APM2 involved in clathrin-independent transport processes,34,O,YHL019C
35,vertex,_id,"APM1 AP-1 complex subunit,mu1 subunit,54 KD",35,O,YPL259C
36,vertex,_id,"APS1 AP-1 complex subunit,sigma1 subunit,18 KD",36,O,YLR170C
37,vertex,_id,"MIS1 C1-tetrahydrofolate synthase precursor,mitochondrial",37,G,YBR084W
38,vertex,_id,"APL4 AP-1 complex subunit,gamma-adaptin,94 KD",38,O,YPR029C
39,vertex,_id,"RPA135 DNA-directed RNA polymerase I,135 KD subunit",39,T,YPR010C
41,vertex,_id,"APM4 AP-2 complex subunit,mu2 subunit,55 KD",41,O,YOL062C
42,vertex,_id,"APS2 AP-2 complex subunit,sigma2 subunit,17 KD",42,O,YJR058C
44,vertex,_id,"APL5 AP-3 complex subunit,gamma-adaptin,107 KD",44,O,YPL195W
45,vertex,_id,"APM3 AP-3 complex subunit,mu3 subunit,55 KD",45,O,YBR288C
46,vertex,_id,"CKB1 casein kinase II,beta subunit",46,T,YGL019W
47,vertex,_id,"APS3 AP-3 complex subunit,sigma3 subunit,22 KD",47,O,YJL024C
48,vertex,_id,"APL6 AP-3 complex subunit,beta3-adaptin,91 KD",48,O,YGR261C
50,vertex,_id,APT2 adenine phosphoribosyltransferase,50,M,YDR441C
52,vertex,_id,ARC15 subunit of the ARP2/3 complex,52,O,YIL062C
54,vertex,_id,ARC35 subunit of the ARP2/3 complex,54,O,YNR035C
55,vertex,_id,ARC19 subunit of the ARP2/3 complex,55,O,YKL013C
56,vertex,_id,ARC18 subunit of the ARP2/3 complex,56,O,YLR370C
57,vertex,_id,ARP2 actin-like protein,57,O,YDL029W
58,vertex,_id,"PFK1 6-phosphofructokinase,alpha subunit",58,E,YGR240C
59,vertex,_id,"ARC40 ARP2/3 protein complex subunit,40 kilodalton",59,C,YBR234C
60,vertex,_id,ARD1 protein N-acetyltransferase subunit,60,D,YHR013C
61,vertex,_id,YGR090w similarity to PIR:T40678 hypothetical protein SPBC776.08c S. pombe,61,U,YGR090W
63,vertex,_id,MYO1 myosin-1 isoform (type II myosin) heavy chain,63,O,YHR023W
64,vertex,_id,ASC1 40S small subunit ribosomal protein,64,P,YMR116C
66,vertex,_id,ARF2 GTP-binding protein of the ARF family,66,O,YDL137W
67,vertex,_id,ARL1 ADP-ribosylation factor,67,F,YBR164C
68,vertex,_id,ARO1 arom pentafunctional enzyme,68,G,YDR127W
69,vertex,_id,RVB2 RUVB-like protein,69,D,YPL235W
71,vertex,_id,GFA1 glucosamine--fructose-6-phosphate transaminase,71,M,YKL104C
72,vertex,_id,HSC82 heat shock protein,72,R,YMR186W
73,vertex,_id,RPN9 subunit of the regulatory particle of the proteasome,73,F,YDR427W
74,vertex,_id,YHB1 flavohemoglobin,74,R,YGR234W
76,vertex,_id,CCT8 component of chaperonin-containing T-complex,76,F,YJL008C
78,vertex,_id,NOG2 strong similarity to human breast tumor associated autoantigen,78,U,YNR053C
80,vertex,_id,Unknow protein !!!,80,U,YIL070C
81,vertex,_id,RNR4 ribonucleotide reductase small subunit,81,M,YGR180C
84,vertex,_id,HIR3 involved in cell cycle regulation of histone transcription,84,B,YJR140C
